What,Where,When,How_Much
Bach og Bibelen.,"[55.691864, 12.5345859]",1600,
Palæ Bar Jazz.,"[None, None]",1700,
Ace Tee & Kwam.e (DE).,"[55.6680687, 12.5444302]",2000,140
Apocalyptica.,"[55.6575405, 12.5905654]",2000,345
Jamie Lawson.,"[55.6680529, 12.5439823]",2000,230
Michael Mcdonald - Udsolgt.,"[55.6680529, 12.5439823]",2000,450
Harry Styles.,"[55.6252114, 12.5736741]",2000,390
Skotsk Irsk Musikscene.,"[55.7305364, 12.3522152]",1930,140
Noah Gundersen (US).,"[55.6680529, 12.5439823]",2000,170
Level 42.,"[55.6575405, 12.5905654]",2000,370
Onsdags-jazz på Lipperts.,"[55.6517012, 12.3037462]",1800,
Passionsspil Sankt Annæ Skole.,"[55.64882790000001, 12.5947248]",1900,
"Kammermusikforeningen af 1911, Poseidon Kvartetten m. gæst.","[55.6817515, 12.5894416]",1930,130
Debutkoncert - Victor Sørensen.,"[55.68111589999999, 12.5528412]",1930,
Esko Järvelä Epic Male Band.,"[55.7305364, 12.3522152]",2000,140
Bearcubs (uk) - Flyttet.,"[55.6680687, 12.5444302]",2000,115
Desiigner (US).,"[55.6745289, 12.6003759]",2000,245
Pinegrove + special guest Phoebe Bridgers.,"[55.673854, 12.597078]",2030,140
Hugo Helmig (DK).,"[55.6680529, 12.5439823]",2100,165
"ALL SWING &amp; BOSSA, Ole Schmidt, tenorsax og Jørgen Schaarup, guitar.","[55.6792101, 12.5897645]",1900,
Generalforsamling.,"[55.7395721, 12.4933224]",1900,
Syng Sammen Aften.,"[None, None]",1930,
Rose Room Dixie.,"[55.7597679, 12.3389448]",1930,
Påskekoncert med Gospelkor.,"[55.671907, 12.5552659]",1930,
Burhan G.,"[55.6575405, 12.5905654]",2000,370
Barbara Moleko trio.,"[55.68181879999999, 12.4566722]",2000,
Trivium + support.,"[55.677125, 12.5651939]",2000,355
CPHPHIL Tre gange 1. symfoni.,"[55.68111589999999, 12.5528412]",1930,210
Scarlet Pleasure.,"[55.681116, 12.552841]",2000,250
Tørfisk.,"['None', 'None']",2000,225
